"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.484352239E0,-3.020938672E-2,7.357032299E0,6.538986206E0
6.504094323E0,-9.242277592E-2,7.376473904E0,6.541378975E0
6.523852291E0,-5.054837838E-2,7.349853992E0,6.530611038E0
6.543613021E0,-5.413761362E-2,7.335496902E0,6.449255466E0
6.563394010E0,-2.901297435E-2,7.301997185E0,6.438487530E0
6.583151979E0,-5.054837838E-2,7.358228683E0,6.373582363E0
6.602879218E0,-8.883354068E-2,7.366902828E0,6.489933014E0
6.622664062E0,-9.601201117E-2,7.359724045E0,6.623931408E0
6.642422083E0,-9.601201117E-2,7.389634609E0,6.610770702E0
6.662183698E0,-3.020938672E-2,7.348657608E0,6.524629116E0
6.681907291E0,-6.610172242E-2,7.365706444E0,6.561717987E0
6.701665312E0,-3.499503061E-2,7.365706444E0,6.522236347E0
6.721447760E0,-3.379862010E-2,7.349853992E0,6.433403015E0
6.741201093E0,-2.901297435E-2,7.355835915E0,6.438487530E0
6.760959062E0,-4.935196787E-2,7.354639530E0,6.480361938E0
6.780693437E0,-4.336991161E-2,7.345067978E0,6.491129398E0
6.800486093E0,-3.379862010E-2,7.333104134E0,6.462415695E0
6.820244062E0,-6.729813665E-2,7.348657608E0,6.492326260E0
6.839980937E0,-9.122636169E-2,7.347461224E0,6.591628075E0
6.859724531E0,-6.370890141E-2,7.354639530E0,6.525825500E0
6.879482552E0,-3.499503061E-2,7.346264839E0,6.452844620E0
6.899235104E0,-4.336991161E-2,7.357032299E0,6.504290104E0
6.918972916E0,-3.978067636E-2,7.364510059E0,6.505486488E0
6.938730885E0,-2.422732860E-2,7.343871593E0,6.555736065E0
6.958524479E0,-2.691925503E-3,7.318747044E0,6.506682873E0
6.978262135E0,-5.294119939E-2,7.331907749E0,6.516254425E0
6.998020104E0,-8.404789865E-2,7.359724045E0,6.573681831E0
7.017768177E0,-5.174478889E-2,7.321139812E0,6.572485447E0
7.037549218E0,-9.870393202E-3,7.321139812E0,6.506682873E0
7.057307239E0,-3.738785535E-2,7.342675209E0,6.402296066E0
7.077049427E0,-7.328019291E-2,7.372884750E0,6.487540245E0
7.096806354E0,-5.294119939E-2,7.313961506E0,6.596413612E0
7.116564114E0,-1.824527234E-2,7.296015263E0,6.705586433E0
7.136308073E0,-5.413761362E-2,7.321139812E0,6.617949009E0
7.156078958E0,-7.447660714E-2,7.335496902E0,6.583253384E0
7.175836718E0,-2.542374097E-2,7.276872635E0,6.467201233E0
7.195566458E0,-1.465603895E-2,7.272087097E0,6.414260387E0
7.215363802E0,-3.379862010E-2,7.279265404E0,6.488736629E0
7.235121510E0,-6.131608039E-2,7.311568737E0,6.486343861E0
7.254841458E0,-7.806584239E-2,7.311568737E0,6.572485447E0
7.274631302E0,-6.969095767E-2,7.303194046E0,6.646663189E0
7.294389062E0,-5.892325938E-2,7.269694328E0,6.625127792E0
7.314118750E0,-8.045866340E-2,7.270890713E0,6.638288021E0
7.333856093E0,-5.174478889E-2,7.278069019E0,6.652645111E0
7.353613854E0,-5.084747914E-3,7.301997185E0,6.522236347E0
7.373391666E0,-2.781656384E-2,7.275676250E0,6.464808464E0
7.393129323E0,-4.336991161E-2,7.273283482E0,6.541378975E0
7.412887083E0,-2.662015148E-2,7.307979584E0,6.438487530E0
7.432661041E0,-7.088737190E-2,7.278069019E0,6.558128834E0
7.452427656E0,-8.165507019E-2,7.263712406E0,6.667002201E0
7.472185416E0,-6.370890141E-2,7.268497944E0,6.553342819E0
7.491916093E0,-4.935196787E-2,7.208677292E0,6.669394970E0
7.511678177E0,-2.542374097E-2,7.207480907E0,6.530611038E0
7.531435937E0,-3.499503061E-2,7.202695370E0,6.470790863E0
7.551229062E0,-3.140579537E-2,7.203891754E0,6.788138866E0
7.570939114E0,3.469592705E-2,7.036095142E0,6.879065990E0
7.590696875E0,5.982056633E-2,7.081558704E0,6.686144829E0
7.610470937E0,8.614161611E-2,7.055237770E0,6.678966045E0
7.630195312E0,4.426721856E-2,7.033702374E0,6.725925446E0
7.649953073E0,-4.935196787E-2,7.024130821E0,7.028916359E0
